#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
2.607435   21.35212088    6.50463533   49.41704369   36.16659641   98.47942990   14.50129899   14.83098054    0.97777075  1929.22644998  5435.07386549           nan           nan           nan           nan           nan 
2.706882   21.41826868    6.74487543   49.52016258   36.42585659  102.45434961   14.48940498   14.84049058    0.97634272  1939.83180830  5474.80741385           nan           nan           nan           nan           nan 
2.806441   21.48338318    6.97108984   49.62064981   36.67096043  106.23728135   14.47849959   14.84993529    0.97498739  1950.05735154  5513.09467228           nan           nan           nan           nan           nan 
2.906088   21.54738712    7.18456125   49.71853113   36.90316200  109.84373021   14.46849775   14.85930037    0.97369980  1959.95922842  5550.07293624           nan           nan           nan           nan           nan 
3.005805   21.61030054    7.38646507   49.81375980   37.12360430  113.28786063   14.45932484   14.86856961    0.97247585  1969.50761268  5585.89871359           nan           nan           nan           nan           nan 
3.105579   21.67214966    7.57773876   49.90650511   37.33331823  116.58232782   14.45103186   14.87778974    0.97131577  1978.76938024  5620.48268796           nan           nan           nan           nan           nan 
3.205398   21.73288822    7.75946903   49.99680090   37.53325796  119.73950347   14.44326371   14.88689446    0.97019991  1987.74269908  5654.02467115           nan           nan           nan           nan           nan 
3.305253   21.79245281    7.93258286   50.08471918   37.72430229  122.76984607   14.43605208   14.89585972    0.96913185  1996.42744656  5686.70522961           nan           nan           nan           nan           nan 
3.405137   21.85085297    8.09755325   50.17037678   37.90709877  125.68152045   14.42942923   14.90477276    0.96810797  2004.87047073  5718.37897133           nan           nan           nan           nan           nan 
3.505045   21.90806389    8.25503159   50.25388575   38.08231068  128.48298092   14.42348605   14.91363955    0.96713388  2013.08068454  5749.16121010           nan           nan           nan           nan           nan 
3.604971   21.96410799    8.40524149   50.33530426   38.25055122  131.18243592   14.41807073   14.92265487    0.96618670  2021.04837040  5779.24083281           nan           nan           nan           nan           nan 
3.704911   22.01899099    8.54906178   50.41475964   38.41236067  133.78786127   14.41308731   14.93164945    0.96527094  2028.79524583  5808.52771533           nan           nan           nan           nan           nan 
3.804864   22.07272053    8.68706989   50.49239063   38.56819010  136.30537383   14.40853018   14.94056010    0.96439023  2036.36691686  5837.04910869           nan           nan           nan           nan           nan 
3.904826   22.12535286    8.81960011   50.56809378   38.71844816  138.74024405   14.40439105   14.94942403    0.96354154  2043.75539148  5864.85948548           nan           nan           nan           nan           nan 
4.004796   22.17690039    8.94701242   50.64201689   38.86350012  141.09734891   14.40064716   14.95824385    0.96272312  2050.95665880  5892.16249853           nan           nan           nan           nan           nan 
4.104772   22.22739410    9.06966305   50.71421814   39.00370312  143.38147074   14.39726281   14.96702003    0.96193249  2057.99523546  5918.84158514           nan           nan           nan           nan           nan 
4.204752   22.27684832    9.18787956   50.78473520   39.13937902  145.59718555   14.39415038   14.97574973    0.96116392  2064.87965673  5944.97459502           nan           nan           nan           nan           nan 
4.304737   22.32528973    9.30192184   50.85365200   39.27079821  147.74820080   14.39134598   14.98443818    0.96041946  2071.61508507  5970.57129001           nan           nan           nan           nan           nan 
4.404724   22.37274265    9.41205645   50.92107010   39.39822721  149.83864588   14.38882875   14.99308538    0.95969765  2078.22427431  5995.64337655           nan           nan           nan           nan           nan 
4.504714   22.41923285    9.51851749   50.98699713   39.52189779  151.87152190   14.38659704   15.00169015    0.95899841  2084.67842154  6020.33325318           nan           nan           nan           nan           nan 
4.604706   22.46479082    9.62152433   51.05146790   39.64203548  153.84978381   14.38467818   15.01025558    0.95832334  2091.02127258  6044.47375377           nan           nan           nan           nan           nan 
4.704700   22.50944233    9.72127628   51.11457157   39.75884581  155.77590414   14.38306904   15.01878476    0.95767196  2097.24378069  6068.19330416           nan           nan           nan           nan           nan 
4.804695   22.55322456    9.81795835   51.17635012   39.87251329  157.65278091   14.38170475   15.02727747    0.95703994  2103.35028275  6091.53452865           nan           nan           nan           nan           nan 
4.904691   22.59613943    9.91175318   51.23685932   39.98323154  159.48329136   14.38057488   15.03573918    0.95642620  2109.34283120  6114.51467389           nan           nan           nan           nan           nan 
5.000000   22.63623667    9.99860764   51.29336929   40.08615685  161.18697580   14.37970680   15.04377460    0.95585763  2114.95606264  6136.08776680           nan           nan           nan           nan           nan 
