#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
2.584115   17.00000000   10.28398991   45.00000000   40.16354179  125.31002688   14.93801767   14.93977594    0.99988231  1962.47207550  5742.07369633           nan           nan           nan           nan           nan 
2.683716   17.00000000   10.56904316   45.00000000   40.46584797  128.89840682   14.93120570   14.94840240    0.99884960  1973.55435509  5783.90401780           nan           nan           nan           nan           nan 
2.783396   17.00000000   10.83832359   45.00000000   40.75186634  132.29997869   14.92501845   14.95677137    0.99787702  1984.20655559  5824.09101563           nan           nan           nan           nan           nan 
2.883141   17.00000000   11.09281445   45.00000000   41.02314377  135.53148090   14.91943642   14.96516466    0.99694435  1994.44974918  5862.76490035           nan           nan           nan           nan           nan 
2.982936   17.00000000   11.33434296   45.00000000   41.28105354  138.60732061   14.91441219   14.97335529    0.99606347  2004.31806241  5900.10979739           nan           nan           nan           nan           nan 
3.082773   17.00000000   11.56363392   45.00000000   41.52679634  141.54082211   14.90991670   14.98158121    0.99521649  2013.84824971  5936.32273709           nan           nan           nan           nan           nan 
3.182642   17.00000000   11.78179455   45.00000000   41.76141644  144.34383480   14.90592559   14.98981094    0.99440384  2023.07067116  5971.37465904           nan           nan           nan           nan           nan 
3.282537   17.00000000   11.98980331   45.00000000   41.98587704  147.02712179   14.90242786   14.99803686    0.99362523  2032.00107746  6005.43578499           nan           nan           nan           nan           nan 
3.382454   17.00000000   12.18848324   45.00000000   42.20097637  149.60028166   14.89935153   15.00624657    0.99287663  2040.64931243  6038.46765154           nan           nan           nan           nan           nan 
3.482387   17.00000000   12.37862492   45.00000000   42.40739250  152.07211102   14.89666716   15.01438379    0.99215974  2049.04968163  6070.64893920           nan           nan           nan           nan           nan 
3.582333   17.00000000   12.56086159   45.00000000   42.60582352  154.44967975   14.89430898   15.02248096    0.99146799  2057.21591357  6101.97410423           nan           nan           nan           nan           nan 
3.682290   17.00000000   12.73579884   45.00000000   42.79691601  156.73970444   14.89233755   15.03055859    0.99080400  2065.17247618  6132.47354709           nan           nan           nan           nan           nan 
3.782256   17.00000000   12.90397739   45.00000000   42.98113728  158.94850004   14.89049550   15.03857994    0.99015303  2072.88829987  6162.28430066           nan           nan           nan           nan           nan 
3.882229   17.00000000   13.06579494   45.00000000   43.15897846  161.08074009   14.88891476   15.04659176    0.98952075  2080.43327118  6191.40958446           nan           nan           nan           nan           nan 
3.982207   17.00000000   13.22163677   45.00000000   43.33090305  163.14110841   14.88761824   15.05463314    0.98890608  2087.78991971  6219.86565756           nan           nan           nan           nan           nan 
4.082189   17.00000000   13.37185764   45.00000000   43.49726582  165.13378710   14.88654722   15.06270409    0.98830510  2094.97642655  6247.70698885           nan           nan           nan           nan           nan 
4.182175   17.00000000   13.51681042   45.00000000   43.65841103  167.06287953   14.88572797   15.07080030    0.98771981  2101.99797596  6274.98843012           nan           nan           nan           nan           nan 
4.282164   17.00000000   13.65680408   45.00000000   43.81462765  168.93175553   14.88515779   15.07891178    0.98715067  2108.87100629  6301.71084827           nan           nan           nan           nan           nan 
4.382155   17.00000000   13.79212475   45.00000000   43.96619987  170.74388599   14.88482403   15.08703756    0.98659687  2115.58773111  6327.97177082           nan           nan           nan           nan           nan 
4.482148   17.00000000   13.92303753   45.00000000   44.11338520  172.50236614   14.88472044   15.09517384    0.98605823  2122.17101870  6353.73518867           nan           nan           nan           nan           nan 
4.582142   17.00000000   14.04978085   45.00000000   44.25641823  174.20998329   14.88483585   15.10331869    0.98553412  2128.62577038  6379.09251834           nan           nan           nan           nan           nan 
4.682137   17.00000000   14.17257309   45.00000000   44.39551353  175.86909968   14.88516677   15.11147022    0.98502439  2134.95228098  6403.99750269           nan           nan           nan           nan           nan 
4.782134   17.00000000   14.29162788   45.00000000   44.53088093  177.48238424   14.88570491   15.11962652    0.98452861  2141.16801748  6428.45223395           nan           nan           nan           nan           nan 
4.882131   17.00000000   14.40713310   45.00000000   44.66270828  179.05208289   14.88644055   15.12778759    0.98404611  2147.26022683  6452.56877816           nan           nan           nan           nan           nan 
4.982128   17.00000000   14.51926804   45.00000000   44.79117203  180.58017511   14.88736949   15.13595200    0.98357669  2153.24218300  6476.26144473           nan           nan           nan           nan           nan 
5.000000   17.00000000   14.53896809   45.00000000   44.81379128  180.84905042   14.88755424   15.13741159    0.98349405  2154.30143727  6480.46780227           nan           nan           nan           nan           nan 
