#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
1.979291   21.53097391    4.34127951   49.39809179   34.23883748   65.34423701   14.89814631   14.94877899    0.99661292  1929.25578116  5524.12536569           nan           nan           nan           nan           nan 
2.077064   21.57699966    4.80652547   49.49429274   34.73350978   72.53910357   14.88136757   14.96349216    0.99451167  1945.06480743  5587.39381337           nan           nan           nan           nan           nan 
2.175283   21.62071657    5.23492026   49.58961773   35.19007158   79.21558660   14.86617315   14.97757566    0.99256205  1960.15371092  5647.47766227           nan           nan           nan           nan           nan 
2.273858   21.66365767    5.62886429   49.68416500   35.61127496   85.40544093   14.85237293   14.99120533    0.99073908  1974.54131712  5704.92234555           nan           nan           nan           nan           nan 
2.372718   21.70665503    5.99180222   49.77752304   36.00077438   91.15753655   14.83983943   15.00448608    0.98902684  1988.22483241  5759.16772394           nan           nan           nan           nan           nan 
2.471806   21.75004578    6.32696199   49.86898851   36.36198092   96.51771622   14.82843496   15.01750946    0.98740973  2001.33531830  5810.80678332           nan           nan           nan           nan           nan 
2.571077   21.79390669    6.63738346   49.95892859   36.69802999  101.52932702   14.81805423   15.03032327    0.98587728  2013.91695957  5859.81322998           nan           nan           nan           nan           nan 
2.670493   21.83814049    6.92583370   50.04726934   37.01176882  106.23145918   14.80860488   15.04296756    0.98442045  2025.98488180  5906.80641080           nan           nan           nan           nan           nan 
2.770026   21.88260603    7.19477272   50.13394833   37.30569077  110.65921815   14.80001587   15.05545902    0.98303319  2037.55967258  5952.00787558           nan           nan           nan           nan           nan 
2.869653   21.92722845    7.44625187   50.21890306   37.58187008  114.84011185   14.79222323   15.06780910    0.98171029  2048.71271735  5995.29676318           nan           nan           nan           nan           nan 
