#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
2.567475   21.55828619    6.63304663   49.42565012   36.17406702  101.19426771   14.58887836   14.77051020    0.98770308  1941.54545720  5509.72101966           nan           nan           nan           nan           nan 
2.666774   21.61970377    6.88845158   49.52427769   36.44957018  105.40407524   14.57689306   14.78055930    0.98622067  1952.52324018  5551.49555654           nan           nan           nan           nan           nan 
2.766212   21.68045664    7.12765741   49.62072706   36.70911646  109.39239298   14.56613806   14.79072952    0.98481539  1963.13811518  5591.61802074           nan           nan           nan           nan           nan 
2.865764   21.74042892    7.35263824   49.71490908   36.95431471  113.18103120   14.55621675   14.80083823    0.98347246  1973.37503273  5630.30603613           nan           nan           nan           nan           nan 
2.965405   21.79951429    7.56479645   49.80675793   37.18665266  116.78884525   14.54694042   14.81092811    0.98217615  1983.24338836  5667.50771293           nan           nan           nan           nan           nan 
3.065117   21.85768509    7.76528931   49.89639187   37.40724182  120.23033770   14.53841364   14.82097626    0.98093495  1992.80400193  5703.71907745           nan           nan           nan           nan           nan 
3.164887   21.91489267    7.95516014   49.98384285   37.61714220  123.51914321   14.53064704   14.83099103    0.97974889  2002.07954435  5738.59140679           nan           nan           nan           nan           nan 
3.264704   21.97106934    8.13540268   50.06898689   37.81735039  126.66856730   14.52362889   14.84097385    0.97861697  2011.04784339  5772.54437447           nan           nan           nan           nan           nan 
3.364557   22.02619982    8.30682373   50.15178490   38.00866079  129.68936732   14.51717573   14.85091853    0.97752713  2019.76933671  5805.42253947           nan           nan           nan           nan           nan 
3.464439   22.08028078    8.47015524   50.23247194   38.19178534  132.59095360   14.51126835   14.86081505    0.97647863  2028.22427790  5837.40172040           nan           nan           nan           nan           nan 
3.564345   22.13333368    8.62599945   50.31115150   38.36731434  135.38195721   14.50587305   14.87065744    0.97546952  2036.44796980  5868.47888439           nan           nan           nan           nan           nan 
3.664269   22.18536139    8.77492428   50.38790941   38.53581715  138.07008977   14.50095600   14.88044643    0.97449738  2044.43570835  5898.89345611           nan           nan           nan           nan           nan 
3.764209   22.23637009    8.91747141   50.46295929   38.69783115  140.66261282   14.49650580   14.89017987    0.97356150  2052.18939661  5928.57521938           nan           nan           nan           nan           nan 
3.864161   22.28638124    9.05409765   50.53624201   38.85381985  143.16585200   14.49248749   14.89986110    0.97265923  2059.77730107  5957.49072872           nan           nan           nan           nan           nan 
3.964123   22.33540487    9.18523550   50.60781860   39.00421524  145.58555492   14.48887068   14.90948987    0.97178849  2067.19045573  5985.68312420           nan           nan           nan           nan           nan 
4.064092   22.38344574    9.31127262   50.67771292   39.14939928  147.92732566   14.48555493   14.91906333    0.97094265  2074.43112375  6013.29869025           nan           nan           nan           nan           nan 
4.164067   22.43053055    9.43256140   50.74612808   39.28973675  150.19601628   14.48256743   14.92858768    0.97012308  2081.50437007  6040.27845328           nan           nan           nan           nan           nan 
4.264047   22.47666550    9.54941463   50.81307411   39.42553282  152.39581397   14.47987574   14.93805909    0.96932779  2088.42176076  6066.72443522           nan           nan           nan           nan           nan 
4.364031   22.52188301    9.66211843   50.87853050   39.55707788  154.53126266   14.47751260   14.94747972    0.96855877  2095.18767633  6092.69232596           nan           nan           nan           nan           nan 
4.464019   22.56619787    9.77094173   50.94256258   39.68463850  156.60537655   14.47549838   14.95684838    0.96781742  2101.80822274  6118.16772197           nan           nan           nan           nan           nan 
4.564009   22.60963058    9.87612438   51.00521278   39.80846310  158.62218722   14.47378671   14.96616936    0.96710029  2108.30223098  6143.16960508           nan           nan           nan           nan           nan 
4.664001   22.65224075    9.97789907   51.06654453   39.92877674  160.58452017   14.47232586   14.97543883    0.96640412  2114.67927501  6167.65860105           nan           nan           nan           nan           nan 
4.763994   22.69402504   10.07647610   51.12663794   40.04578495  162.49564337   14.47112191   14.98465443    0.96572944  2120.93689956  6191.72224702           nan           nan           nan           nan           nan 
4.863989   22.73498583   10.17203712   51.18548870   40.15967560  164.35795087   14.47014189   14.99381924    0.96507379  2127.06663648  6215.46310671           nan           nan           nan           nan           nan 
4.963985   22.77512121   10.26476192   51.24312305   40.27068806  166.17479220   14.46925914   15.00296307    0.96442677  2133.09992874  6238.80174408           nan           nan           nan           nan           nan 
5.000000   22.78936577   10.29750729   51.26358366   40.31001949  166.81856354   14.46898860   15.00625610    0.96419710  2135.24304283  6247.12851233           nan           nan           nan           nan           nan 
