#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
2.233660   21.21583557    5.53913116   49.03840923   35.06814003   83.23233851   14.59756705   14.76450443    0.98869333  1893.19498269  5312.18390153           nan           nan           nan           nan           nan 
2.332386   21.28311539    5.85336542   49.14853477   35.40274358   88.22684770   14.58125865   14.77468908    0.98690799  1905.58451285  5359.25288335           nan           nan           nan           nan           nan 
2.431366   21.34921217    6.14669466   49.25616884   35.71625757   92.94197930   14.56622967   14.78478146    0.98521779  1917.46772294  5404.61718179           nan           nan           nan           nan           nan 
2.530550   21.41444492    6.42092466   49.36100912   36.01041889   97.39727077   14.55255151   14.79474711    0.98362962  1928.89791017  5447.96136762           nan           nan           nan           nan           nan 
2.629898   21.47889662    6.67771912   49.46344280   36.28698730  101.61415391   14.54004338   14.80463409    0.98212785  1939.91260600  5489.51450651           nan           nan           nan           nan           nan 
2.729376   21.54250813    6.91874695   49.56341124   36.54768515  105.61426794   14.52844474   14.81446910    0.98069291  1950.55509625  5529.54558153           nan           nan           nan           nan           nan 
2.828958   21.60520935    7.14573812   49.66093540   36.79402113  109.41701157   14.51780060   14.82414150    0.97933500  1960.82090752  5568.19841891           nan           nan           nan           nan           nan 
2.928624   21.66695786    7.35990000   49.75599194   37.02729988  113.03940558   14.50829366   14.83369994    0.97806304  1970.74627503  5605.36296583           nan           nan           nan           nan           nan 
3.028357   21.72768450    7.56231976   49.84870052   37.24866486  116.49479928   14.49950564   14.84317255    0.97684680  1980.31791607  5641.51463459           nan           nan           nan           nan           nan 
3.128143   21.78732300    7.75394630   49.93898773   37.45929861  119.79838744   14.49127626   14.85267615    0.97566769  1989.60080428  5676.36937132           nan           nan           nan           nan           nan 
3.227972   21.84589148    7.93549252   50.02680254   37.66005945  122.96180356   14.48370022   14.86228347    0.97452725  1998.59700434  5710.20357757           nan           nan           nan           nan           nan 
3.327835   21.90338135    8.10811377   50.11239481   37.85176992  125.99571164   14.47680998   14.87182808    0.97343850  2007.31700324  5743.00782438           nan           nan           nan           nan           nan 
3.427726   21.95974827    8.27262592   50.19578505   38.03526926  128.91052038   14.47059101   14.88132167    0.97239958  2015.79055790  5774.85041749           nan           nan           nan           nan           nan 
3.527638   22.01494789    8.42972326   50.27700329   38.21126080  131.71555159   14.46487200   14.89076877    0.97139860  2024.01735009  5805.87728277           nan           nan           nan           nan           nan 
3.627568   22.06902266    8.57990551   50.35617733   38.38024950  134.41798117   14.45963019   14.90017200    0.97043378  2032.02266841  5836.06704900           nan           nan           nan           nan           nan 
3.727512   22.12204695    8.72365904   50.43351698   38.54271364  137.02476327   14.45484757   14.90952730    0.96950408  2039.78045430  5865.66227355           nan           nan           nan           nan           nan 
3.827467   22.17399693    8.86147547   50.50896692   38.69914103  139.54239888   14.45050567   14.91883278    0.96860833  2047.36846580  5894.45154241           nan           nan           nan           nan           nan 
3.927431   22.22488594    8.99376869   50.58261585   38.84994221  141.97656759   14.44657815   14.92808676    0.96774479  2054.77966492  5922.50450657           nan           nan           nan           nan           nan 
4.027402   22.27473640    9.12092495   50.65465546   38.99550962  144.33221272   14.44303703   14.93729234    0.96691132  2062.00806917  5950.00450312           nan           nan           nan           nan           nan 
4.127380   22.32357407    9.24330473   50.72505236   39.13619661  146.61426774   14.43978918   14.94644594    0.96610186  2069.08100851  5976.84719755           nan           nan           nan           nan           nan 
4.227361   22.37140989    9.36121511   50.79383755   39.27232027  148.82755752   14.43685853   14.95555258    0.96531763  2075.98986099  6003.22938463           nan           nan           nan           nan           nan 
4.327347   22.41828203    9.47494411   50.86107016   39.40416908  150.97599088   14.43422300   14.96461248    0.96455709  2082.75494489  6029.00992995           nan           nan           nan           nan           nan 
4.427335   22.46422100    9.58474064   50.92681789   39.53199816  153.06295115   14.43189341   14.97362876    0.96382070  2089.37539783  6054.32905096           nan           nan           nan           nan           nan 
4.527326   22.50923109    9.69085884   50.99116993   39.65605593  155.09203706   14.42989445   14.98259854    0.96311026  2095.86361072  6079.14761791           nan           nan           nan           nan           nan 
4.627318   22.55334759    9.79352570   51.05416012   39.77657747  157.06620144   14.42820579   14.99152589    0.96242410  2102.22193224  6103.55606038           nan           nan           nan           nan           nan 
4.727312   22.59657860    9.89293337   51.11581039   39.89376020  158.98852705   14.42676824   15.00041342    0.96175804  2108.47511748  6127.45934701           nan           nan           nan           nan           nan 
4.827307   22.63895702    9.98926687   51.17617273   40.00778770  160.86175776   14.42558324   15.00926042    0.96111220  2114.60297930  6151.01645339           nan           nan           nan           nan           nan 
4.927303   22.68051481   10.08271122   51.23529625   40.11884689  162.68809452   14.42462343   15.01806784    0.96048464  2120.61940258  6174.16155500           nan           nan           nan           nan           nan 
5.000000   22.71021366   10.14892292   51.27752209   40.19781876  163.98792616   14.42401171   15.02444792    0.96003605  2124.92669706  6190.79250605           nan           nan           nan           nan           nan 
